商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
五鼎,1733.TW,3,2015/01/14,買進,55,2015/04/20,賣出,53.8,60,-0.027695,最大持有 60 期
友訊,2332.TW,3,2015/01/14,買進,18.3,2015/04/20,賣出,16.35,60,-0.111895,最大持有 60 期
盟立,2464.TW,3,2015/01/14,買進,28.6,2015/04/20,賣出,29.8,60,0.035671,最大持有 60 期
皇翔,2545.TW,3,2015/01/14,買進,46.5,2015/04/20,賣出,43.5,60,-0.070166,最大持有 60 期
華固,2548.TW,3,2015/01/14,買進,58.3,2015/04/20,賣出,67.2,60,0.145771,最大持有 60 期
台灣大,3045.TW,7,2015/01/14,買進,108.5,2015/04/20,賣出,103.5,60,-0.051811,最大持有 60 期
矽瑪,3511.TW,2,2015/01/14,買進,19.05,2015/04/20,賣出,18.6,60,-0.029449,最大持有 60 期
聚積,3527.TW,2,2015/01/14,買進,68,2015/04/20,賣出,67.2,60,-0.01769,最大持有 60 期
谷崧,3607.TW,3,2015/01/14,買進,61.5,2015/04/20,賣出,76.7,60,0.239884,最大持有 60 期
亞昕,5213.TW,3,2015/01/14,買進,18.45,2015/04/20,賣出,17.95,60,-0.032945,最大持有 60 期
同亨,5490.TW,3,2015/01/14,買進,58.8,2015/04/20,賣出,71.6,60,0.210386,最大持有 60 期
普萊德,6263.TW,3,2015/01/14,買進,47,2015/04/20,賣出,50.8,60,0.074369,最大持有 60 期
大世科,8099.TW,3,2015/01/14,買進,23.6,2015/04/20,賣出,24.55,60,0.033995,最大持有 60 期
勤美,1532.TW,4,2015/01/15,買進,32.4,2015/04/21,賣出,31.15,60,-0.044318,最大持有 60 期
友訊,2332.TW,4,2015/01/15,買進,18.5,2015/04/21,賣出,16.25,60,-0.126905,最大持有 60 期
盟立,2464.TW,4,2015/01/15,買進,28.2,2015/04/21,賣出,29.7,60,0.046848,最大持有 60 期
皇翔,2545.TW,4,2015/01/15,買進,46,2015/04/21,賣出,42.8,60,-0.07517,最大持有 60 期
華固,2548.TW,4,2015/01/15,買進,58.8,2015/04/21,賣出,67,60,0.132709,最大持有 60 期
台灣大,3045.TW,8,2015/01/15,買進,107,2015/04/21,賣出,106,60,-0.015323,最大持有 60 期
同亨,5490.TW,4,2015/01/15,買進,58.9,2015/04/21,賣出,70.4,60,0.188067,最大持有 60 期
普萊德,6263.TW,4,2015/01/15,買進,47,2015/04/21,賣出,49.05,60,0.037423,最大持有 60 期
宏正,6277.TW,2,2015/01/15,買進,83.5,2015/04/21,賣出,89.7,60,0.067796,最大持有 60 期
