商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
良維,6290.TW,2,2015/01/13,買進,31.8,2015/04/17,賣出,31.4,60,-0.018396,最大持有 60 期
勤誠,8210.TW,2,2015/01/13,買進,57.6,2015/04/17,賣出,56.2,60,-0.030171,最大持有 60 期
寶成,9904.TW,2,2015/01/13,買進,39.8,2015/04/17,賣出,43.9,60,0.09639,最大持有 60 期
永裕,1323.TW,3,2015/01/14,買進,37.65,2015/04/20,賣出,36.45,60,-0.03768,最大持有 60 期
廣豐,1416.TW,7,2015/01/14,買進,18.2,2015/04/20,賣出,17.8,60,-0.027821,最大持有 60 期
利奇,1517.TW,3,2015/01/14,買進,15.5,2015/04/20,賣出,14.75,60,-0.054135,最大持有 60 期
勤美,1532.TW,3,2015/01/14,買進,31.85,2015/04/20,賣出,31.5,60,-0.0169,最大持有 60 期
南僑,1702.TW,2,2015/01/14,買進,55.4,2015/04/20,賣出,68.2,60,0.223685,最大持有 60 期
東鹼,1708.TW,3,2015/01/14,買進,40.2,2015/04/20,賣出,42.8,60,0.058282,最大持有 60 期
盟立,2464.TW,3,2015/01/14,買進,28.6,2015/04/20,賣出,29.8,60,0.035671,最大持有 60 期
三商,2905.TW,3,2015/01/14,買進,20.8,2015/04/20,賣出,20.4,60,-0.025114,最大持有 60 期
聚積,3527.TW,2,2015/01/14,買進,68,2015/04/20,賣出,67.2,60,-0.01769,最大持有 60 期
智易,3596.TW,3,2015/01/14,買進,45.3,2015/04/20,賣出,43.15,60,-0.053187,最大持有 60 期
谷崧,3607.TW,3,2015/01/14,買進,61.5,2015/04/20,賣出,76.7,60,0.239884,最大持有 60 期
遠雄,5522.TW,3,2015/01/14,買進,37.8,2015/04/20,賣出,36,60,-0.053379,最大持有 60 期
新普,6121.TW,6,2015/01/14,買進,157.5,2015/04/20,賣出,153,60,-0.034448,最大持有 60 期
普萊德,6263.TW,3,2015/01/14,買進,47,2015/04/20,賣出,50.8,60,0.074369,最大持有 60 期
台郡,6269.TW,5,2015/01/14,買進,72.2,2015/04/20,賣出,111,60,0.528141,最大持有 60 期
良維,6290.TW,3,2015/01/14,買進,33,2015/04/20,賣出,30.55,60,-0.079695,最大持有 60 期
勤誠,8210.TW,3,2015/01/14,買進,57.6,2015/04/20,賣出,52.7,60,-0.090518,最大持有 60 期
寶成,9904.TW,3,2015/01/14,買進,40.4,2015/04/20,賣出,43,60,0.058049,最大持有 60 期
永裕,1323.TW,4,2015/01/15,買進,37.3,2015/04/21,賣出,35.8,60,-0.046,最大持有 60 期
廣豐,1416.TW,8,2015/01/15,買進,18.3,2015/04/21,賣出,17.6,60,-0.044053,最大持有 60 期
利奇,1517.TW,4,2015/01/15,買進,15.15,2015/04/21,賣出,14.8,60,-0.028974,最大持有 60 期
勤美,1532.TW,4,2015/01/15,買進,32.4,2015/04/21,賣出,31.15,60,-0.044318,最大持有 60 期
南僑,1702.TW,3,2015/01/15,買進,55.6,2015/04/21,賣出,67.6,60,0.20853,最大持有 60 期
東鹼,1708.TW,4,2015/01/15,買進,40.4,2015/04/21,賣出,41.45,60,0.019843,最大持有 60 期
盟立,2464.TW,4,2015/01/15,買進,28.2,2015/04/21,賣出,29.7,60,0.046848,最大持有 60 期
三商,2905.TW,4,2015/01/15,買進,20.75,2015/04/21,賣出,20.2,60,-0.032352,最大持有 60 期
智易,3596.TW,4,2015/01/15,買進,45.05,2015/04/21,賣出,42.35,60,-0.065568,最大持有 60 期
遠雄,5522.TW,4,2015/01/15,買進,37.1,2015/04/21,賣出,35.65,60,-0.044848,最大持有 60 期
新普,6121.TW,7,2015/01/15,買進,155,2015/04/21,賣出,154.5,60,-0.009236,最大持有 60 期
普萊德,6263.TW,4,2015/01/15,買進,47,2015/04/21,賣出,49.05,60,0.037423,最大持有 60 期
台郡,6269.TW,6,2015/01/15,買進,71.5,2015/04/21,賣出,105.5,60,0.466703,最大持有 60 期
宏正,6277.TW,2,2015/01/15,買進,83.5,2015/04/21,賣出,89.7,60,0.067796,最大持有 60 期
良維,6290.TW,4,2015/01/15,買進,34.5,2015/04/21,賣出,30,60,-0.1356,最大持有 60 期
勤誠,8210.TW,4,2015/01/15,買進,58,2015/04/21,賣出,50.3,60,-0.13795,最大持有 60 期
寶成,9904.TW,4,2015/01/15,買進,41.2,2015/04/21,賣出,41.7,60,0.006012,最大持有 60 期
永裕,1323.TW,5,2015/01/16,買進,36.85,2015/04/22,賣出,36.15,60,-0.024938,最大持有 60 期
廣豐,1416.TW,9,2015/01/16,買進,18.05,2015/04/22,賣出,17.55,60,-0.033542,最大持有 60 期
利奇,1517.TW,5,2015/01/16,買進,15.1,2015/04/22,賣出,14.8,60,-0.025759,最大持有 60 期
勤美,1532.TW,5,2015/01/16,買進,32.65,2015/04/22,賣出,31.2,60,-0.050122,最大持有 60 期
南僑,1702.TW,4,2015/01/16,買進,55.6,2015/04/22,賣出,68.5,60,0.224607,最大持有 60 期
東鹼,1708.TW,5,2015/01/16,買進,40.5,2015/04/22,賣出,42.75,60,0.049164,最大持有 60 期
盟立,2464.TW,5,2015/01/16,買進,28.1,2015/04/22,賣出,29.75,60,0.052359,最大持有 60 期
三商,2905.TW,5,2015/01/16,買進,20.75,2015/04/22,賣出,20.2,60,-0.03241,最大持有 60 期
聚積,3527.TW,3,2015/01/16,買進,70.2,2015/04/22,賣出,63.9,60,-0.095285,最大持有 60 期
智易,3596.TW,5,2015/01/16,買進,44.7,2015/04/22,賣出,42.7,60,-0.050524,最大持有 60 期
遠雄,5522.TW,5,2015/01/16,買進,37,2015/04/22,賣出,35.75,60,-0.039616,最大持有 60 期
新普,6121.TW,8,2015/01/16,買進,153,2015/04/22,賣出,154,60,0.000435,最大持有 60 期
普萊德,6263.TW,5,2015/01/16,買進,48.5,2015/04/22,賣出,49.9,60,0.022647,最大持有 60 期
台郡,6269.TW,7,2015/01/16,買進,72,2015/04/22,賣出,110.5,60,0.525463,最大持有 60 期
宏正,6277.TW,3,2015/01/16,買進,82.7,2015/04/22,賣出,90.3,60,0.085341,最大持有 60 期
良維,6290.TW,5,2015/01/16,買進,35.2,2015/04/22,賣出,30,60,-0.152885,最大持有 60 期
勤誠,8210.TW,5,2015/01/16,買進,57.7,2015/04/22,賣出,50.6,60,-0.128403,最大持有 60 期
寶成,9904.TW,5,2015/01/16,買進,41,2015/04/22,賣出,42.7,60,0.035205,最大持有 60 期
永裕,1323.TW,6,2015/01/19,買進,36.5,2015/04/23,賣出,36.35,60,-0.010109,最大持有 60 期
廣豐,1416.TW,10,2015/01/19,買進,18.1,2015/04/23,賣出,17.7,60,-0.027974,最大持有 60 期
利奇,1517.TW,6,2015/01/19,買進,15.2,2015/04/23,賣出,14.85,60,-0.028938,最大持有 60 期
勤美,1532.TW,6,2015/01/19,買進,33,2015/04/23,賣出,31.1,60,-0.063239,最大持有 60 期
南僑,1702.TW,5,2015/01/19,買進,55.6,2015/04/23,賣出,68.5,60,0.224613,最大持有 60 期
東鹼,1708.TW,6,2015/01/19,買進,39.9,2015/04/23,賣出,42.35,60,0.055029,最大持有 60 期
盟立,2464.TW,6,2015/01/19,買進,28.25,2015/04/23,賣出,29.95,60,0.053797,最大持有 60 期
皇翔,2545.TW,1,2015/01/19,買進,44,2015/04/23,賣出,42,60,-0.051219,最大持有 60 期
三商,2905.TW,6,2015/01/19,買進,20.4,2015/04/23,賣出,20.1,60,-0.020638,最大持有 60 期
智易,3596.TW,6,2015/01/19,買進,44.5,2015/04/23,賣出,43,60,-0.039517,最大持有 60 期
遠雄,5522.TW,6,2015/01/19,買進,36.4,2015/04/23,賣出,36.15,60,-0.012946,最大持有 60 期
新普,6121.TW,9,2015/01/19,買進,152,2015/04/23,賣出,156.5,60,0.023417,最大持有 60 期
普萊德,6263.TW,6,2015/01/19,買進,48.4,2015/04/23,賣出,53.3,60,0.094493,最大持有 60 期
台郡,6269.TW,8,2015/01/19,買進,71.5,2015/04/23,賣出,111,60,0.543061,最大持有 60 期
宏正,6277.TW,4,2015/01/19,買進,82.7,2015/04/23,賣出,91,60,0.093718,最大持有 60 期
良維,6290.TW,6,2015/01/19,買進,35.1,2015/04/23,賣出,30.6,60,-0.133432,最大持有 60 期
勤誠,8210.TW,6,2015/01/19,買進,56.8,2015/04/23,賣出,50.7,60,-0.11278,最大持有 60 期
寶成,9904.TW,6,2015/01/19,買進,40.9,2015/04/23,賣出,43.85,60,0.065773,最大持有 60 期
裕融,9941.TW,1,2015/01/19,買進,75.7,2015/04/23,賣出,78.6,60,0.032068,最大持有 60 期
永裕,1323.TW,7,2015/01/20,買進,36.65,2015/04/24,賣出,36,60,-0.023628,最大持有 60 期
廣豐,1416.TW,11,2015/01/20,買進,18.05,2015/04/24,賣出,17.7,60,-0.025265,最大持有 60 期
利奇,1517.TW,7,2015/01/20,買進,14.9,2015/04/24,賣出,14.9,60,-0.005981,最大持有 60 期
勤美,1532.TW,7,2015/01/20,買進,32.7,2015/04/24,賣出,31.25,60,-0.050068,最大持有 60 期
南僑,1702.TW,6,2015/01/20,買進,55.5,2015/04/24,賣出,68.1,60,0.219834,最大持有 60 期
東鹼,1708.TW,7,2015/01/20,買進,40.1,2015/04/24,賣出,43.55,60,0.07952,最大持有 60 期
盟立,2464.TW,7,2015/01/20,買進,28.25,2015/04/24,賣出,29.95,60,0.053803,最大持有 60 期
皇翔,2545.TW,2,2015/01/20,買進,43.3,2015/04/24,賣出,43.4,60,-0.003618,最大持有 60 期
三商,2905.TW,7,2015/01/20,買進,20.2,2015/04/24,賣出,20.25,60,-0.003523,最大持有 60 期
智易,3596.TW,7,2015/01/20,買進,44.5,2015/04/24,賣出,43.3,60,-0.032792,最大持有 60 期
遠雄,5522.TW,7,2015/01/20,買進,34.8,2015/04/24,賣出,36.25,60,0.035505,最大持有 60 期
新普,6121.TW,10,2015/01/20,買進,151,2015/04/24,賣出,157,60,0.033557,最大持有 60 期
普萊德,6263.TW,7,2015/01/20,買進,46.4,2015/04/24,賣出,52.3,60,0.120428,最大持有 60 期
台郡,6269.TW,9,2015/01/20,買進,70,2015/04/24,賣出,116,60,0.647305,最大持有 60 期
宏正,6277.TW,5,2015/01/20,買進,81.6,2015/04/24,賣出,89.5,60,0.090282,最大持有 60 期
良維,6290.TW,7,2015/01/20,買進,35.4,2015/04/24,賣出,30.15,60,-0.153426,最大持有 60 期
勤誠,8210.TW,7,2015/01/20,買進,55.8,2015/04/24,賣出,51,60,-0.091454,最大持有 60 期
寶成,9904.TW,7,2015/01/20,買進,42.15,2015/04/24,賣出,44.3,60,0.0447,最大持有 60 期
永裕,1323.TW,8,2015/01/21,買進,36.65,2015/04/27,賣出,36.05,60,-0.022248,最大持有 60 期
廣豐,1416.TW,12,2015/01/21,買進,18.15,2015/04/27,賣出,17.7,60,-0.030668,最大持有 60 期
利奇,1517.TW,8,2015/01/21,買進,14.95,2015/04/27,賣出,15.1,60,0.003972,最大持有 60 期
勤美,1532.TW,8,2015/01/21,買進,32.7,2015/04/27,賣出,31.6,60,-0.039433,最大持有 60 期
東鹼,1708.TW,8,2015/01/21,買進,40,2015/04/27,賣出,45.25,60,0.124456,最大持有 60 期
建準,2421.TW,1,2015/01/21,買進,20.7,2015/04/27,賣出,21.8,60,0.046876,最大持有 60 期
盟立,2464.TW,8,2015/01/21,買進,28,2015/04/27,賣出,29.9,60,0.061454,最大持有 60 期
可成,2474.TW,1,2015/01/21,買進,267,2015/04/27,賣出,380,60,0.414788,最大持有 60 期
三商,2905.TW,8,2015/01/21,買進,20.3,2015/04/27,賣出,20.4,60,-0.001094,最大持有 60 期
智易,3596.TW,8,2015/01/21,買進,44.8,2015/04/27,賣出,43.65,60,-0.031527,最大持有 60 期
遠雄,5522.TW,8,2015/01/21,買進,35.7,2015/04/27,賣出,37.2,60,0.03583,最大持有 60 期
新普,6121.TW,11,2015/01/21,買進,154,2015/04/27,賣出,156.5,60,0.010126,最大持有 60 期
尼得科超眾,6230.TW,1,2015/01/21,買進,87.9,2015/04/27,賣出,93.3,60,0.055067,最大持有 60 期
普萊德,6263.TW,8,2015/01/21,買進,47,2015/04/27,賣出,52.9,60,0.118796,最大持有 60 期
台郡,6269.TW,10,2015/01/21,買進,72,2015/04/27,賣出,115.5,60,0.594536,最大持有 60 期
胡連,6279.TW,1,2015/01/21,買進,112.5,2015/04/27,賣出,152,60,0.34307,最大持有 60 期
良維,6290.TW,8,2015/01/21,買進,35.4,2015/04/27,賣出,29.9,60,-0.160417,最大持有 60 期
勤誠,8210.TW,8,2015/01/21,買進,56.7,2015/04/27,賣出,51,60,-0.105918,最大持有 60 期
寶成,9904.TW,8,2015/01/21,買進,42,2015/04/27,賣出,44.3,60,0.048443,最大持有 60 期
裕融,9941.TW,2,2015/01/21,買進,75.9,2015/04/27,賣出,81.9,60,0.072587,最大持有 60 期
永裕,1323.TW,9,2015/01/22,買進,37.2,2015/04/28,賣出,36.5,60,-0.024641,最大持有 60 期
廣豐,1416.TW,13,2015/01/22,買進,17.95,2015/04/28,賣出,17.75,60,-0.017075,最大持有 60 期
利奇,1517.TW,9,2015/01/22,買進,14.9,2015/04/28,賣出,15.05,60,0.004036,最大持有 60 期
勤美,1532.TW,9,2015/01/22,買進,32.7,2015/04/28,賣出,31.9,60,-0.030274,最大持有 60 期
南僑,1702.TW,7,2015/01/22,買進,58,2015/04/28,賣出,68.8,60,0.179063,最大持有 60 期
東鹼,1708.TW,9,2015/01/22,買進,39.8,2015/04/28,賣出,44.6,60,0.113873,最大持有 60 期
建準,2421.TW,2,2015/01/22,買進,21.1,2015/04/28,賣出,21.75,60,0.024666,最大持有 60 期
盟立,2464.TW,9,2015/01/22,買進,28,2015/04/28,賣出,29.9,60,0.061499,最大持有 60 期
皇翔,2545.TW,3,2015/01/22,買進,44.05,2015/04/28,賣出,44.3,60,-0.000244,最大持有 60 期
三商,2905.TW,9,2015/01/22,買進,20.3,2015/04/28,賣出,20.65,60,0.011147,最大持有 60 期
聚積,3527.TW,4,2015/01/22,買進,68.5,2015/04/28,賣出,63.8,60,-0.074239,最大持有 60 期
智易,3596.TW,9,2015/01/22,買進,44.6,2015/04/28,賣出,43.2,60,-0.03718,最大持有 60 期
遠雄,5522.TW,9,2015/01/22,買進,37.45,2015/04/28,賣出,37,60,-0.017931,最大持有 60 期
尼得科超眾,6230.TW,2,2015/01/22,買進,88.2,2015/04/28,賣出,91.6,60,0.032316,最大持有 60 期
普萊德,6263.TW,9,2015/01/22,買進,47.8,2015/04/28,賣出,52,60,0.081258,最大持有 60 期
台郡,6269.TW,11,2015/01/22,買進,72.4,2015/04/28,賣出,113.5,60,0.55832,最大持有 60 期
良維,6290.TW,9,2015/01/22,買進,35.8,2015/04/28,賣出,29.95,60,-0.168473,最大持有 60 期
勤誠,8210.TW,9,2015/01/22,買進,57,2015/04/28,賣出,50.7,60,-0.115869,最大持有 60 期
寶成,9904.TW,9,2015/01/22,買進,42.1,2015/04/28,賣出,43.9,60,0.036501,最大持有 60 期
永裕,1323.TW,10,2015/01/23,買進,38.05,2015/04/29,賣出,36.35,60,-0.050451,最大持有 60 期
廣豐,1416.TW,14,2015/01/23,買進,18.15,2015/04/29,賣出,17.8,60,-0.025209,最大持有 60 期
利奇,1517.TW,10,2015/01/23,買進,15.1,2015/04/29,賣出,15.05,60,-0.009282,最大持有 60 期
勤美,1532.TW,10,2015/01/23,買進,33.2,2015/04/29,賣出,31.85,60,-0.046423,最大持有 60 期
南僑,1702.TW,8,2015/01/23,買進,58,2015/04/29,賣出,69,60,0.182491,最大持有 60 期
東鹼,1708.TW,10,2015/01/23,買進,39.9,2015/04/29,賣出,45.55,60,0.134708,最大持有 60 期
建準,2421.TW,3,2015/01/23,買進,21.6,2015/04/29,賣出,21.4,60,-0.015272,最大持有 60 期
三商,2905.TW,10,2015/01/23,買進,20.4,2015/04/29,賣出,20.75,60,0.011048,最大持有 60 期
遠見,3040.TW,1,2015/01/23,買進,44,2015/04/29,賣出,44.75,60,0.010952,最大持有 60 期
智易,3596.TW,10,2015/01/23,買進,45,2015/04/29,賣出,42.65,60,-0.057945,最大持有 60 期
遠雄,5522.TW,10,2015/01/23,買進,37.7,2015/04/29,賣出,36.85,60,-0.028422,最大持有 60 期
新普,6121.TW,12,2015/01/23,買進,155.5,2015/04/29,賣出,152.5,60,-0.025168,最大持有 60 期
豐藝,6189.TW,1,2015/01/23,買進,36.4,2015/04/29,賣出,38.75,60,0.058165,最大持有 60 期
普萊德,6263.TW,10,2015/01/23,買進,46.9,2015/04/29,賣出,51.8,60,0.097868,最大持有 60 期
台郡,6269.TW,12,2015/01/23,買進,73.6,2015/04/29,賣出,108.5,60,0.465377,最大持有 60 期
宏正,6277.TW,6,2015/01/23,買進,83,2015/04/29,賣出,90,60,0.077821,最大持有 60 期
良維,6290.TW,10,2015/01/23,買進,35.15,2015/04/29,賣出,30.15,60,-0.147431,最大持有 60 期
勤誠,8210.TW,10,2015/01/23,買進,57.8,2015/04/29,賣出,50.5,60,-0.13151,最大持有 60 期
寶成,9904.TW,10,2015/01/23,買進,42.4,2015/04/29,賣出,43.05,60,0.009254,最大持有 60 期
永裕,1323.TW,11,2015/01/26,買進,37.5,2015/04/30,賣出,36.3,60,-0.037823,最大持有 60 期
廣豐,1416.TW,15,2015/01/26,買進,18.1,2015/04/30,賣出,18.1,60,-0.006041,最大持有 60 期
利奇,1517.TW,11,2015/01/26,買進,15.1,2015/04/30,賣出,15,60,-0.012574,最大持有 60 期
勤美,1532.TW,11,2015/01/26,買進,33.1,2015/04/30,賣出,32,60,-0.039082,最大持有 60 期
中宇,1535.TW,2,2015/01/26,買進,68.5,2015/04/30,賣出,76.8,60,0.114421,最大持有 60 期
南僑,1702.TW,9,2015/01/26,買進,57.7,2015/04/30,賣出,68.2,60,0.174857,最大持有 60 期
東鹼,1708.TW,11,2015/01/26,買進,39,2015/04/30,賣出,44.45,60,0.132902,最大持有 60 期
可成,2474.TW,2,2015/01/26,買進,281.5,2015/04/30,賣出,360,60,0.271167,最大持有 60 期
三商,2905.TW,11,2015/01/26,買進,20.35,2015/04/30,賣出,21.35,60,0.042824,最大持有 60 期
遠見,3040.TW,2,2015/01/26,買進,44,2015/04/30,賣出,44.45,60,0.004236,最大持有 60 期
智易,3596.TW,11,2015/01/26,買進,44,2015/04/30,賣出,42.8,60,-0.033165,最大持有 60 期
遠雄,5522.TW,11,2015/01/26,買進,37.1,2015/04/30,賣出,36.65,60,-0.018044,最大持有 60 期
新普,6121.TW,13,2015/01/26,買進,154,2015/04/30,賣出,152.5,60,-0.015663,最大持有 60 期
普萊德,6263.TW,11,2015/01/26,買進,46.8,2015/04/30,賣出,55.4,60,0.176691,最大持有 60 期
台郡,6269.TW,13,2015/01/26,買進,73.5,2015/04/30,賣出,109,60,0.474243,最大持有 60 期
宏正,6277.TW,7,2015/01/26,買進,82.5,2015/04/30,賣出,90.7,60,0.092799,最大持有 60 期
良維,6290.TW,11,2015/01/26,買進,34.5,2015/04/30,賣出,29.95,60,-0.137085,最大持有 60 期
勤誠,8210.TW,11,2015/01/26,買進,58.5,2015/04/30,賣出,49.5,60,-0.158946,最大持有 60 期
寶成,9904.TW,11,2015/01/26,買進,42.5,2015/04/30,賣出,43.05,60,0.006777,最大持有 60 期
永裕,1323.TW,12,2015/01/27,買進,37.45,2015/05/04,賣出,36.05,60,-0.043177,最大持有 60 期
廣豐,1416.TW,16,2015/01/27,買進,17.9,2015/05/04,賣出,18.2,60,0.01066,最大持有 60 期
利奇,1517.TW,12,2015/01/27,買進,15.15,2015/05/04,賣出,14.9,60,-0.022423,最大持有 60 期
勤美,1532.TW,12,2015/01/27,買進,32.6,2015/05/04,賣出,31.8,60,-0.030402,最大持有 60 期
南僑,1702.TW,10,2015/01/27,買進,56.9,2015/05/04,賣出,67,60,0.170475,最大持有 60 期
東鹼,1708.TW,12,2015/01/27,買進,38.9,2015/05/04,賣出,43.85,60,0.12047,最大持有 60 期
可成,2474.TW,3,2015/01/27,買進,282.5,2015/05/04,賣出,350,60,0.231462,最大持有 60 期
三商,2905.TW,12,2015/01/27,買進,20.25,2015/05/04,賣出,20.9,60,0.025915,最大持有 60 期
遠見,3040.TW,3,2015/01/27,買進,45.35,2015/05/04,賣出,43.6,60,-0.044259,最大持有 60 期
智易,3596.TW,12,2015/01/27,買進,43.1,2015/05/04,賣出,42.05,60,-0.030183,最大持有 60 期
遠雄,5522.TW,12,2015/01/27,買進,37.5,2015/05/04,賣出,37.1,60,-0.016594,最大持有 60 期
台郡,6269.TW,14,2015/01/27,買進,76.9,2015/05/04,賣出,108.5,60,0.402409,最大持有 60 期
良維,6290.TW,12,2015/01/27,買進,34.5,2015/05/04,賣出,29.9,60,-0.138503,最大持有 60 期
勤誠,8210.TW,12,2015/01/27,買進,57.8,2015/05/04,賣出,48.5,60,-0.165949,最大持有 60 期
寶成,9904.TW,12,2015/01/27,買進,41.6,2015/05/04,賣出,43.3,60,0.034695,最大持有 60 期
永裕,1323.TW,13,2015/01/28,買進,37.1,2015/05/05,賣出,36,60,-0.035479,最大持有 60 期
廣豐,1416.TW,17,2015/01/28,買進,17.85,2015/05/05,賣出,18.1,60,0.007931,最大持有 60 期
利奇,1517.TW,13,2015/01/28,買進,15,2015/05/05,賣出,14.85,60,-0.015911,最大持有 60 期
