商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
互盛電,2433.TW,1,2015/05/12,買進,46.65,2015/08/06,賣出,44.1,60,0.011716,最大持有 60 期
慧洋-KY,2637.TW,1,2015/06/04,買進,42.0,2015/08/31,賣出,37.0,60,-0.058088,最大持有 60 期
玉山金,2884.TW,1,2015/06/09,買進,20.6,2015/09/03,賣出,19.65,60,0.055937,最大持有 60 期
三聯,5493.TW,1,2015/06/11,買進,34.9,2015/09/07,賣出,30.15,60,-0.042545,最大持有 60 期
飛捷,6206.TW,1,2015/06/18,買進,129.0,2015/09/14,賣出,92.5,60,-0.206457,最大持有 60 期
翔名,8091.TW,2,2015/06/26,買進,79.0,2015/09/21,賣出,61.0,60,-0.178543,最大持有 60 期
矽瑪,3511.TW,2,2015/07/07,買進,20.5,2015/10/02,賣出,44.1,60,1.142813,最大持有 60 期
碩天,3617.TW,1,2015/07/20,買進,75.0,2015/10/15,賣出,73.6,60,-0.022667,最大持有 60 期
盟立,2464.TW,1,2015/07/21,買進,29.0,2015/10/16,賣出,28.3,60,0.062782,最大持有 60 期
瑞軒,2489.TW,1,2015/07/21,買進,17.85,2015/10/16,賣出,16.15,60,-0.006165,最大持有 60 期
台虹,8039.TW,1,2015/07/22,買進,47.1,2015/10/19,賣出,40.4,60,-0.056982,最大持有 60 期
晶睿,3454.TW,1,2015/08/06,買進,86.0,2015/11/03,賣出,81.4,60,-0.057306,最大持有 60 期
崇友,4506.TW,2,2015/09/02,買進,29.2,2015/11/30,賣出,27.9,60,-0.048237,最大持有 60 期
泰詠,6266.TW,1,2015/09/04,買進,14.5,2015/12/02,賣出,12.6,60,-0.134562,最大持有 60 期
泰博,4736.TW,1,2015/09/15,買進,83.0,2015/12/11,賣出,107.0,60,0.284002,最大持有 60 期
信邦,3023.TW,2,2015/09/17,買進,57.2,2015/12/15,賣出,59.6,60,0.03778,最大持有 60 期
嘉澤,3533.TW,1,2015/09/21,買進,105.5,2015/12/17,賣出,118.5,60,0.118745,最大持有 60 期
光隆,8916.TW,1,2015/09/23,買進,46.0,2015/12/21,賣出,61.8,60,0.33805,最大持有 60 期
建準,2421.TW,1,2015/10/01,買進,15.4,2015/12/25,賣出,17.4,60,0.12534,最大持有 60 期
閎康,3587.TW,1,2015/10/01,買進,46.8,2015/12/25,賣出,57.4,60,0.221574,最大持有 60 期
力成,6239.TW,1,2015/10/01,買進,60.4,2015/12/25,賣出,67.4,60,0.111413,最大持有 60 期
亞信,3169.TW,2,2015/10/02,買進,27.8,2015/12/28,賣出,29.95,60,0.073071,最大持有 60 期
元大期,6023.TW,1,2015/10/02,買進,35.7,2015/12/28,賣出,35.9,60,0.001573,最大持有 60 期
信錦,1582.TW,1,2015/10/05,買進,48.8,2015/12/29,賣出,48.6,60,-0.008038,最大持有 60 期
瑞儀,6176.TW,1,2015/10/06,買進,108.0,2015/12/30,賣出,77.5,60,-0.285367,最大持有 60 期
欣銓,3264.TW,1,2015/10/07,買進,22.35,2015/12/31,賣出,23.25,60,0.036135,最大持有 60 期
茂綸,6227.TW,1,2015/10/07,買進,16.2,2015/12/31,賣出,16.8,60,0.032973,最大持有 60 期
精華,1565.TW,1,2015/10/08,買進,451.0,2016/01/04,賣出,665.0,60,0.468609,最大持有 60 期
漢平,2488.TW,1,2015/10/08,買進,32.3,2016/01/04,賣出,24.65,60,-0.239998,最大持有 60 期
健鼎,3044.TW,1,2015/10/08,買進,50.0,2016/01/04,賣出,56.2,60,0.119456,最大持有 60 期
僑威,3078.TW,1,2015/10/08,買進,17.5,2016/01/04,賣出,23.1,60,0.314656,最大持有 60 期
景碩,3189.TW,1,2015/10/08,買進,70.0,2016/01/04,賣出,67.2,60,-0.04391,最大持有 60 期
昇達科,3491.TW,1,2015/10/08,買進,77.5,2016/01/04,賣出,66.5,60,-0.145396,最大持有 60 期
